Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,55.810001373291016,55.91999816894531,55.380001068115234,55.90999984741211,50.36391067504883,673800
2018-01-03,56.0,56.18000030517578,55.540000915527344,55.810001373291016,50.27382278442383,706700
2018-01-04,55.959999084472656,56.47999954223633,55.939998626708984,55.97999954223633,50.42696762084961,757100
2018-01-05,55.97999954223633,56.36000061035156,55.83000183105469,56.310001373291016,50.72422790527344,780600
2018-01-08,56.459999084472656,56.83000183105469,55.90999984741211,56.77000045776367,51.13860321044922,665500
2018-01-09,56.72999954223633,57.119998931884766,56.58000183105469,56.630001068115234,51.01249694824219,617300
2018-01-10,56.5,56.68000030517578,55.689998626708984,55.790000915527344,50.255821228027344,539900
2018-01-11,55.91999816894531,56.61000061035156,55.91999816894531,56.59000015258789,50.97645950317383,539400
2018-01-12,56.7400016784668,56.900001525878906,56.13999938964844,56.36000061035156,50.7692756652832,747800
2018-01-16,56.79999923706055,57.150001525878906,55.400001525878906,55.70000076293945,50.174739837646484,828600
2018-01-17,56.18000030517578,57.2599983215332,56.040000915527344,57.119998931884766,51.453880310058594,1236100
2018-01-18,56.72999954223633,56.88999938964844,55.40999984741211,55.91999816894531,50.37291717529297,1483600
2018-01-19,56.16999816894531,57.04999923706055,56.16999816894531,57.02000045776367,51.36380386352539,773200
2018-01-22,56.81999969482422,57.5,56.45000076293945,57.45000076293945,51.75114822387695,958500
2018-01-23,57.189998626708984,57.38999938964844,56.599998474121094,57.060001373291016,51.39983367919922,597900
2018-01-24,57.36000061035156,57.65999984741211,56.849998474121094,57.43000030517578,51.733131408691406,741000
2018-01-25,57.41999816894531,57.689998626708984,57.0099983215332,57.34000015258789,51.65205383300781,825000
2018-01-26,57.959999084472656,58.56999969482422,57.369998931884766,58.540000915527344,52.73302459716797,917400
2018-01-29,58.349998474121094,58.459999084472656,57.4900016784668,57.61000061035156,51.89527893066406,1076000
2018-01-30,57.06999969482422,57.61000061035156,56.79999923706055,57.400001525878906,51.70610427856445,1349000
2018-01-31,58.400001525878906,60.59000015258789,57.790000915527344,57.880001068115234,52.138492584228516,2777400
2018-02-01,57.869998931884766,59.09000015258789,57.689998626708984,58.529998779296875,52.72401428222656,1151800
2018-02-02,58.0,58.47999954223633,55.720001220703125,56.2400016784668,50.66117858886719,1995000
2018-02-05,55.900001525878906,56.65999984741211,54.400001525878906,54.40999984741211,49.0127067565918,2000100
2018-02-06,53.189998626708984,56.38999938964844,52.97999954223633,56.0099983215332,50.45398712158203,1843700
2018-02-07,55.72999954223633,56.75,55.41999816894531,56.220001220703125,50.643157958984375,1844000
2018-02-08,56.33000183105469,56.33000183105469,52.220001220703125,52.2599983215332,47.07596969604492,1789000
2018-02-09,53.25,53.68000030517578,51.349998474121094,53.220001220703125,47.94075393676758,1622200
2018-02-12,53.58000183105469,54.13999938964844,53.02000045776367,53.599998474121094,48.28305435180664,1211600
2018-02-13,53.369998931884766,54.869998931884766,53.369998931884766,54.63999938964844,49.21989822387695,1423000
2018-02-14,54.099998474121094,56.38999938964844,54.099998474121094,56.119998931884766,50.553077697753906,1242000
2018-02-15,56.5,56.61000061035156,55.81999969482422,56.380001068115234,50.78729248046875,1715300
2018-02-16,56.209999084472656,57.150001525878906,55.97999954223633,56.20000076293945,50.62514877319336,769400
2018-02-20,55.779998779296875,56.90999984741211,55.599998474121094,56.31999969482422,50.73324966430664,1261900
2018-02-21,56.560001373291016,58.310001373291016,56.560001373291016,57.56999969482422,51.8592414855957,2139800
