,symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ATVI
6,ADM
7,ADBE
8,ADP
9,AAP
10,AES
11,AFL
12,A
13,APD
14,AKAM
15,ALK
16,ALB
17,ARE
18,ALGN
19,ALLE
20,LNT
21,ALL
22,GOOGL
23,GOOG
24,MO
25,AMZN
26,AMD
27,AEE
28,AAL
29,AEP
30,AXP
31,AIG
32,AMT
33,AWK
34,AMP
35,ABC
36,AME
37,AMGN
38,APH
39,ADI
40,ANSS
41,AON
42,APA
43,AAPL
44,AMAT
45,APTV
46,ACGL
47,ANET
48,AJG
49,AIZ
50,T
51,ATO
52,ADSK
53,AZO
54,AVB
55,AVY
56,BKR
57,BALL
58,BAC
59,BBWI
60,BAX
61,BDX
62,WRB
63,BBY
64,BIO
65,TECH
66,BIIB
67,BLK
68,BK
69,BA
70,BKNG
71,BWA
72,BXP
73,BSX
74,BMY
75,AVGO
76,BR
77,BRO
78,BG
79,CHRW
80,CDNS
81,CZR
82,CPT
83,CPB
84,COF
85,CAH
86,KMX
87,CCL
88,CTLT
89,CAT
90,CBOE
91,CBRE
92,CDW
93,CE
94,CNC
95,CNP
96,CDAY
97,CF
98,CRL
99,SCHW
100,CHTR
101,CVX
102,CMG
103,CB
104,CHD
105,CI
106,CINF
107,CTAS
108,CSCO
109,C
110,CFG
111,CLX
112,CME
113,CMS
114,KO
115,CTSH
116,CL
117,CMCSA
118,CMA
119,CAG
120,COP
121,ED
122,STZ
123,CEG
124,COO
125,CPRT
126,GLW
127,CSGP
128,COST
129,CCI
130,CSX
131,CMI
132,CVS
133,DHI
134,DHR
135,DRI
136,DVA
137,DE
138,DAL
139,XRAY
140,DVN
141,DXCM
142,FANG
143,DLR
144,DFS
145,DISH
146,DIS
147,DG
148,DLTR
149,D
150,DPZ
151,DOV
152,DTE
153,DUK
154,DD
155,DXC
156,EMN
157,ETN
158,EBAY
159,ECL
160,EIX
161,EW
162,EA
163,ELV
164,LLY
165,EMR
166,ENPH
167,ETR
168,EOG
169,EPAM
170,EQT
171,EFX
172,EQIX
173,EQR
174,ESS
175,EL
176,ETSY
177,RE
178,EVRG
179,ES
180,EXC
181,EXPE
182,EXPD
183,EXR
184,XOM
185,FFIV
186,FDS
187,FICO
188,FAST
189,FRT
190,FDX
191,FITB
192,FRC
193,FSLR
194,FE
195,FIS
196,FISV
197,FLT
198,FMC
199,F
200,FTNT
201,FTV
202,BEN
203,FCX
204,GRMN
205,IT
206,GEHC
207,GEN
208,GNRC
209,GD
210,GE
211,GIS
212,GM
213,GPC
214,GILD
215,GL
216,GPN
217,GS
218,HAL
219,HIG
220,HAS
221,HCA
222,PEAK
223,HSIC
224,HSY
225,HES
226,HPE
227,HLT
228,HOLX
229,HD
230,HON
231,HRL
232,HST
233,HWM
234,HPQ
235,HUM
236,HBAN
237,HII
238,IBM
239,IEX
240,IDXX
241,ITW
242,ILMN
243,INCY
244,IR
245,PODD
246,INTC
247,ICE
248,IFF
249,IP
250,IPG
251,INTU
252,ISRG
253,IVZ
254,INVH
255,IQV
256,IRM
257,JBHT
258,JKHY
259,J
260,JNJ
261,JCI
262,JPM
263,JNPR
264,K
265,KDP
266,KEY
267,KEYS
268,KMB
269,KIM
270,KMI
271,KLAC
272,KHC
273,KR
274,LH
275,LRCX
276,LW
277,LVS
278,LDOS
279,LEN
280,LNC
281,LIN
282,LYV
283,LKQ
284,LMT
285,L
286,LOW
287,LYB
288,MTB
289,MRO
290,MPC
291,MKTX
292,MAR
293,MMC
294,MLM
295,MAS
296,MA
297,MTCH
298,MKC
299,MCD
300,MCK
301,MDT
302,MRK
303,META
304,MET
305,MTD
306,MGM
307,MCHP
308,MU
309,MSFT
310,MAA
311,MRNA
312,MHK
313,MOH
314,TAP
315,MDLZ
316,MPWR
317,MNST
318,MCO
319,MS
320,MOS
321,MSI
322,MSCI
323,NDAQ
324,NTAP
325,NFLX
326,NWL
327,NEM
328,NWSA
329,NWS
330,NEE
331,NKE
332,NI
333,NDSN
334,NSC
335,NTRS
336,NOC
337,NCLH
338,NRG
339,NUE
340,NVDA
341,NVR
342,NXPI
343,ORLY
344,OXY
345,ODFL
346,OMC
347,ON
348,OKE
349,ORCL
350,PCAR
351,PKG
352,PH
353,PAYX
354,PAYC
355,PYPL
356,PNR
357,PEP
358,PKI
359,PFE
360,PCG
361,PM
362,PSX
363,PNW
364,PXD
365,PNC
366,POOL
367,PPG
368,PPL
369,PFG
370,PG
371,PGR
372,PLD
373,PRU
374,PEG
375,PTC
376,PSA
377,PHM
378,QRVO
379,PWR
380,QCOM
381,DGX
382,RL
383,RJF
384,RTX
385,O
386,REG
387,REGN
388,RF
389,RSG
390,RMD
391,RHI
392,ROK
393,ROL
394,ROP
395,ROST
396,RCL
397,SPGI
398,CRM
399,SBAC
400,SLB
401,STX
402,SEE
403,SRE
404,NOW
405,SHW
406,SPG
407,SWKS
408,SJM
409,SNA
410,SEDG
411,SO
412,LUV
413,SWK
414,SBUX
415,STT
416,STLD
417,STE
418,SYK
419,SYF
420,SNPS
421,SYY
422,TMUS
423,TROW
424,TTWO
425,TPR
426,TRGP
427,TGT
428,TEL
429,TDY
430,TFX
431,TER
432,TSLA
433,TXN
434,TXT
435,TMO
436,TJX
437,TSCO
438,TT
439,TDG
440,TRV
441,TRMB
442,TFC
443,TYL
444,TSN
445,USB
446,UDR
447,ULTA
448,UNP
449,UAL
450,UPS
451,URI
452,UNH
453,UHS
454,VLO
455,VTR
456,VRSN
457,VRSK
458,VZ
459,VRTX
460,VFC
461,VTRS
462,VICI
463,V
464,VMC
465,WAB
466,WBA
467,WMT
468,WM
469,WAT
470,WEC
471,WFC
472,WELL
473,WST
474,WDC
475,WRK
476,WY
477,WHR
478,WMB
479,WTW
480,GWW
481,WYNN
482,XEL
483,XYL
484,YUM
485,ZBRA
486,ZBH
487,ZION
488,ZTS
