symbol,industry,sector
MMM,Conglomerates,Industrials
AOS,Specialty Industrial Machinery,Industrials
ABT,Medical Devices,Healthcare
ABBV,Drug Manufacturers—General,Healthcare
ACN,Information Technology Services,Technology
ATVI,Electronic Gaming & Multimedia,Communication Services
ADM,Farm Products,Consumer Defensive
ADBE,Software—Infrastructure,Technology
ADP,Staffing & Employment Services,Industrials
AAP,Specialty Retail,Consumer Cyclical
AES,Utilities—Diversified,Utilities
AFL,Insurance—Life,Financial Services
A,Diagnostics & Research,Healthcare
APD,Specialty Chemicals,Basic Materials
AKAM,Software—Infrastructure,Technology
ALK,Airlines,Industrials
ALB,Specialty Chemicals,Basic Materials
ARE,REIT—Office,Real Estate
ALGN,Medical Devices,Healthcare
ALLE,Security & Protection Services,Industrials
LNT,Utilities—Regulated Electric,Utilities
ALL,Insurance—Property & Casualty,Financial Services
GOOGL,Internet Content & Information,Communication Services
GOOG,Internet Content & Information,Communication Services
MO,Tobacco,Consumer Defensive
AMZN,Internet Retail,Consumer Cyclical
AMCR,Packaging & Containers,Consumer Cyclical
AMD,Semiconductors,Technology
AEE,Utilities—Regulated Electric,Utilities
AAL,Airlines,Industrials
AEP,Utilities—Regulated Electric,Utilities
AXP,Credit Services,Financial Services
AIG,Insurance—Diversified,Financial Services
AMT,REIT—Specialty,Real Estate
AWK,Utilities—Regulated Water,Utilities
AMP,Asset Management,Financial Services
ABC,Medical Distribution,Healthcare
AME,Specialty Industrial Machinery,Industrials
AMGN,Drug Manufacturers—General,Healthcare
APH,Electronic Components,Technology
ADI,Semiconductors,Technology
ANSS,Software—Application,Technology
AON,Insurance Brokers,Financial Services
APA,Oil & Gas E&P,Energy
AAPL,Consumer Electronics,Technology
AMAT,Semiconductor Equipment & Materials,Technology
APTV,Auto Parts,Consumer Cyclical
ACGL,Insurance—Diversified,Financial Services
ANET,Computer Hardware,Technology
AJG,Insurance Brokers,Financial Services
AIZ,Insurance—Specialty,Financial Services
T,Telecom Services,Communication Services
ATO,Utilities—Regulated Gas,Utilities
ADSK,Software—Application,Technology
AZO,Specialty Retail,Consumer Cyclical
AVB,REIT—Residential,Real Estate
AVY,Packaging & Containers,Consumer Cyclical
BKR,Oil & Gas Equipment & Services,Energy
BALL,Packaging & Containers,Consumer Cyclical
BAC,Banks—Diversified,Financial Services
BBWI,Specialty Retail,Consumer Cyclical
BAX,Medical Instruments & Supplies,Healthcare
BDX,Medical Instruments & Supplies,Healthcare
WRB,Insurance—Property & Casualty,Financial Services
BBY,Specialty Retail,Consumer Cyclical
BIO,Medical Devices,Healthcare
TECH,Biotechnology,Healthcare
BIIB,Drug Manufacturers—General,Healthcare
BLK,Asset Management,Financial Services
BK,Asset Management,Financial Services
BA,Aerospace & Defense,Industrials
BKNG,Travel Services,Consumer Cyclical
BWA,Auto Parts,Consumer Cyclical
BXP,REIT—Office,Real Estate
BSX,Medical Devices,Healthcare
BMY,Drug Manufacturers—General,Healthcare
AVGO,Semiconductors,Technology
BR,Information Technology Services,Technology
BRO,Insurance Brokers,Financial Services
BG,Farm Products,Consumer Defensive
CHRW,Integrated Freight & Logistics,Industrials
CDNS,Software—Application,Technology
CZR,Resorts & Casinos,Consumer Cyclical
CPT,REIT—Residential,Real Estate
CPB,Packaged Foods,Consumer Defensive
COF,Credit Services,Financial Services
CAH,Medical Distribution,Healthcare
KMX,Auto & Truck Dealerships,Consumer Cyclical
CCL,Travel Services,Consumer Cyclical
CARR,Building Products & Equipment,Industrials
CTLT,Drug Manufacturers—Specialty & Generic,Healthcare
CAT,Farm & Heavy Construction Machinery,Industrials
CBOE,Financial Data & Stock Exchanges,Financial Services
CBRE,Real Estate Services,Real Estate
CDW,Information Technology Services,Technology
CE,Chemicals,Basic Materials
CNC,Healthcare Plans,Healthcare
CNP,Utilities—Regulated Electric,Utilities
CDAY,Software—Application,Technology
CF,Agricultural Inputs,Basic Materials
CRL,Diagnostics & Research,Healthcare
SCHW,Capital Markets,Financial Services
CHTR,Telecom Services,Communication Services
CVX,Oil & Gas Integrated,Energy
CMG,Restaurants,Consumer Cyclical
CB,Insurance—Property & Casualty,Financial Services
CHD,Household & Personal Products,Consumer Defensive
CI,Healthcare Plans,Healthcare
CINF,Insurance—Property & Casualty,Financial Services
CTAS,Specialty Business Services,Industrials
CSCO,Communication Equipment,Technology
C,Banks—Diversified,Financial Services
CFG,Banks—Regional,Financial Services
CLX,Household & Personal Products,Consumer Defensive
CME,Financial Data & Stock Exchanges,Financial Services
CMS,Utilities—Regulated Electric,Utilities
KO,Beverages—Non-Alcoholic,Consumer Defensive
CTSH,Information Technology Services,Technology
CL,Household & Personal Products,Consumer Defensive
CMCSA,Telecom Services,Communication Services
CMA,Banks—Regional,Financial Services
CAG,Packaged Foods,Consumer Defensive
COP,Oil & Gas E&P,Energy
ED,Utilities—Regulated Electric,Utilities
STZ,Beverages—Wineries & Distilleries,Consumer Defensive
CEG,Utilities—Renewable,Utilities
COO,Medical Instruments & Supplies,Healthcare
CPRT,Auto & Truck Dealerships,Consumer Cyclical
GLW,Electronic Components,Technology
CTVA,Agricultural Inputs,Basic Materials
CSGP,Real Estate Services,Real Estate
COST,Discount Stores,Consumer Defensive
CTRA,Oil & Gas E&P,Energy
CCI,REIT—Specialty,Real Estate
CSX,Railroads,Industrials
CMI,Specialty Industrial Machinery,Industrials
CVS,Healthcare Plans,Healthcare
DHI,Residential Construction,Consumer Cyclical
DHR,Diagnostics & Research,Healthcare
DRI,Restaurants,Consumer Cyclical
DVA,Medical Care Facilities,Healthcare
DE,Farm & Heavy Construction Machinery,Industrials
DAL,Airlines,Industrials
XRAY,Medical Instruments & Supplies,Healthcare
